id,lga_id,ward_id,name,t_reg
1000001 ,1 ,2000001 ,BAKORI GARI II -NADABO PRI. SCH. 002,1305 
1000002 ,1 ,2000001 ,TASHAR GUGA 1 - L.E.A T/GUGA 012,1219 
1000003 ,1 ,2000001 ,RAFIN SARKIN ZANGO I ? DUTSEN ZANZARYA 010,1142 
1000004 ,1 ,2000001 ,BAKORI GARI 1 - NADABO PRI.SCH. 001,1132 
1000005 ,1 ,2000001 ,BAKORI III - K/G TALBAN BAKORI 003,1094 
1000006 ,1 ,2000001 ,BURI NADABO - K/G. MAL. YAHUZA 009,1017 
1000007 ,1 ,2000001 ,TASHAR GUGA III MARABAR DANJA K/G,990 
1000008 ,1 ,2000001 ,TASHAR GUGA II L.E.A.T/GUGA 013,969 
1000009 ,1 ,2000001 ,UNG TOFA II K/G. MALAM BALA  006,968 
1000010 ,1 ,2000001 ,BAKORI GARI IV - MASALLACIN IZALA 004,918 
1000011 ,1 ,2000001 ,UNG TOFA I - K/G SARKIN FAWA  005,911 
1000012 ,1 ,2000001 ,UNG TOFA IV - OLD MARKET  008,884 
1000013 ,1 ,2000001 ,RAFIN SARKIN ZANGO II K/G ALH.LAWAL,776 
1000014 ,1 ,2000001 ,UNG TOFA III - K/G MAI FULANI  007,694 
1000015 ,1 ,2000001 ,HAYIN ALH. (KWAKINA) GINDIN CEDIYA,268 
1000016 ,1 ,2000001 ,UNG. TOFA PRI SCHOOL (RUBURUBU) 018,136 
1000017 ,1 ,2000001 ,K/G MAI UNG. FUZI 019,125 
1000018 ,1 ,2000001 ,TASHAR GUGAI LEA T/GUGA,88 
1000019 ,1 ,2000001 ,TASHAR GUGA III LEA T/GUGAI (NEW),87 
1000020 ,1 ,2000001 ,RAFIN SARKIN ZANGO I DUTSEN,84 
1000021 ,1 ,2000001 ,BAKORI GARI II /NADABO PRI. SCHOOL,81 
1000022 ,1 ,2000001 ,RAFIN SARKIN ZANGO II K/G ALH.,79 
1000023 ,1 ,2000001 ,BAKORI GARI II /NADABO PRI. SCHOOL,70 
1000024 ,1 ,2000001 ,BAKORI GARI I/NADABO PRI. SCHOOL,67 
1000025 ,1 ,2000001 ,UNG. TOFA I ISLAMIYYA K/G MAI GARBA 020,54 
1000026 ,1 ,2000001 ,BURI NADABO K/G MAL YAHUZA (NEW) 023,46 
1000027 ,1 ,2000001 ,UNG TOFA II K/G MALAM BALA 021,30 
1000028 ,1 ,2000001 ,UNG TOFA TOWNSHIP POLICE POST MU'UTASIM GATE 022,20 
1000029 ,1 ,2000002 ,BAKORI GARI III - RAMALAN PRI SCH 005,2456 
1000030 ,1 ,2000002 ,UNG. SANYI I - K/G MAI UNG,1368 
1000031 ,1 ,2000002 ,UNG. YARO - K/G MAI UNG. 007,1160 
1000032 ,1 ,2000002 ,UNG. SAMBO I - K/G MAI UNG,1114 
1000033 ,1 ,2000002 ,UNG SANYI II - OPPOSITE MOTOR PARK,1058 
1000034 ,1 ,2000002 ,BAKORI GARI II - NEAR DISTRICT,962 
